Deu Marquinhos Trad pessoal, parabéns doutor, votos de que a cidadania tenha em Campo Grande-MS a melhor gestão... ;1
Marquinhos Trad 55 - Programa Eleitoral 2º Turno - 24/10/2016:  via @YouTube;2
Hoje é dia de @rosemodestoms para os campo-grandenses. #TamoJuntoComRose #AgoraÉRose #ChegaDeTradicionalismo #Rose45;1
PREFEITO ELEITO EM CAMPO GRANDE (MS)MARQUINHOS TRAD (PSD);2
Marquinhos Trad é eleito prefeito de Campo Grande: O candidato Marquinhos Trad (PSD) está matematicamente ele... ;2
#Eleições2016  Marquinhos Trad (PSD) é eleito em #CampoGrande com 58,76% dos votos contra 41,24% de Rose Modesto (PSDB).;2
Prefeito - Campo Grande: Marquinhos Trad está em 1º lugar (87,90% das urnas)  #Eleicoes2016 #UOL via @UOLNoticias;2
Marquinhos Trad o competente? Vamos ver .;2
Recado Yeda Crusius vale p 2º turno: hora votar nas mulheres! #Caruaru e #CampoGrande fechados #Raquel45 e #Rose45;1
Rose Modesto vota em Campo Grande  #SomosTodosDilma #Raynniere #BuyRaynniereOnItunes;2
CUIABÁ100% das urnas apuradasMarquinhos Trad: 58,77% - 241.876 votos - ELEITORose Modesto: 41,23% - 169.660 votos#Eleições2016;2
Justiça Eleitoral condena Rose Modesto novamente ;0
"vamos la Campo grande ficar de olho e  ""Marquinhos Trad"" faça nossa cidade a melhor";1
Alegria total na adesivagem #RosePrefeita #JuntoscomRose #JuntosporCampoGrande ;1
marquinhos trad citou bruno e marrone no debate, boa noite.;2
A justiça eleitoral recolhesse que a candidata do PSDB Rose Modesto cometeu irregularidades e ofensas inverídicas... ;0
RT @tvfabio: Parabéns aos Marquinhos Trad pela vitória na eleição para prefeito de Campo Grande! #Eleicoes2016;1
marquinhos trad oferecendo 300 reais pros migo vota nele,  nada novo sob o sol;0
Outros eleitos: Marquinhos Trad (PSD) em Campo Grande, Emanuel Pinheiro (PMDB) em Cuiabá, Clécio (Rede) em Macapá e Crespo (DEM) em Sorocaba;2
Marquinhos Trad (PSD) é eleito prefeito de Campo Grande  via @UOLPolitica @UOL;2
Marquinhos Trad (PSD) está eleito prefeito de Campo Grande (MS), com 59% dos votos;0
