"[ 0.03624589  0.21903488 -0.08322665  0.06101739 -0.04283855 -0.13635498
 -0.20097294 -0.02476603  0.09685231 -0.04156423  0.04030797 -0.03782855
  0.20306562  0.0456321  -0.18293123 -0.00749599  0.13982281 -0.11347351
 -0.04222284  0.09878513 -0.00504433  0.13685436 -0.13221834 -0.10913047
 -0.24922057 -0.01236878 -0.13088068 -0.08949843 -0.03088837 -0.0948386
 -0.30909383  0.03859607 -0.2208104  -0.06953589  0.16412504  0.34269654
  0.14434148  0.22058664  0.07222041  0.11178158 -0.11895822 -0.02131977
  0.00156081 -0.04672584 -0.00451161  0.1933887   0.17056993  0.16416452
 -0.22586976  0.23385144]",1
"[ 0.1275374   0.24236204 -0.18524428  0.02775617 -0.10159349 -0.18266735
 -0.17030076 -0.09335037  0.18730451 -0.01590018  0.01750657 -0.14341514
  0.15480237 -0.05154604 -0.14254597  0.02559158  0.0572748   0.09587203
  0.01099379 -0.00071823 -0.07561783  0.10771115 -0.1132438  -0.0350653
 -0.35429306  0.04593516 -0.12720067 -0.04195252  0.05243158 -0.20053394
 -0.22778978  0.04325702 -0.17106391 -0.05725909  0.06623974  0.25358963
  0.08961737  0.18304559  0.22433855  0.04681836 -0.21663396  0.03567981
 -0.01967967  0.02053469  0.15383751  0.03032063  0.18203643  0.23504772
 -0.21896133  0.11496075]",2
"[ 0.08509829  0.2029003  -0.00803497  0.13835777 -0.09484789 -0.0883669
 -0.24445606  0.04142591  0.11693457 -0.0223071   0.0643741  -0.07082888
  0.18951394 -0.00475899 -0.23886194 -0.24336709  0.0293782  -0.02859311
 -0.10929939  0.07922939  0.02939644  0.16579685 -0.11508111 -0.1328052
 -0.00315505  0.00818938 -0.07930389 -0.02935742  0.00195619  0.02790512
 -0.38996254 -0.04330354 -0.20070464 -0.02925713  0.13944987  0.36225231
  0.13402818  0.30813539  0.00958209  0.09824396 -0.02038715 -0.04999511
  0.03045649 -0.02326733 -0.05736432  0.17908645  0.13467104  0.01728656
 -0.20867108  0.14582154]",1
"[ 0.06902542  0.2325876  -0.11674328  0.00638971 -0.03388986 -0.059844
 -0.15861868 -0.06409021  0.0220233  -0.05822861  0.07683711 -0.14865423
  0.11056242  0.05076755 -0.19950922 -0.10587389  0.01181135 -0.07769033
 -0.02938886  0.03268724 -0.03684817  0.00636784 -0.16938539 -0.05912544
 -0.29449595  0.01869792 -0.13357611 -0.0774492   0.0920565  -0.22317009
 -0.28060852  0.01847522 -0.12571388 -0.1587682   0.19599071  0.23522006
  0.16016984  0.2898707   0.14400524  0.14394308 -0.20043621 -0.08098563
 -0.06201062 -0.05258032  0.1355914   0.14329759  0.17276353  0.14289975
 -0.22989285  0.15664105]",2
"[ 0.04423015  0.21204145 -0.11362006  0.04344266 -0.01495275 -0.07988349
 -0.14064581 -0.01652942  0.05018145 -0.05691754  0.0983081  -0.13261885
  0.13436197  0.06873213 -0.1557707  -0.04409084  0.14960259 -0.03769994
 -0.07055807  0.04705107  0.00789361  0.0892681  -0.13629796 -0.03549039
 -0.38441044  0.02185153 -0.1185056  -0.01793928 -0.00336695 -0.2193362
 -0.26109028  0.03161496 -0.19077981 -0.12872889  0.18727748  0.24156868
  0.13681367  0.27097994  0.18109065  0.14770337 -0.16159045 -0.01364819
 -0.04191025 -0.02636658  0.12079699  0.1530713   0.21407872  0.10912733
 -0.22194711  0.15472732]",2
"[ 0.09692021  0.1564137  -0.04849311  0.04063887  0.04089081 -0.08705581
 -0.16822315 -0.05397308  0.13550046 -0.07435503  0.12999514 -0.15783488
  0.14698475  0.02199015 -0.18157205 -0.09342168  0.11128146 -0.06835032
 -0.0131618   0.09654927 -0.03021941  0.05483711 -0.18288862 -0.00609601
 -0.33777336  0.03681506 -0.1202624  -0.0230231   0.03694215 -0.17172938
 -0.32259143 -0.03067351 -0.1338793  -0.09045256  0.18902847  0.28314603
  0.12594078  0.22061638  0.10518001  0.11085893 -0.21720667 -0.03173469
 -0.04509467 -0.00635912  0.05019876  0.18630165  0.17908256  0.1560275
 -0.27511086  0.11158505]",2
"[ 0.0682082   0.26649114 -0.07189996  0.01962478 -0.09172471 -0.08412186
 -0.23816667  0.00727914  0.09114267 -0.0553136   0.03713264 -0.08914104
  0.12575832  0.00538769 -0.15511824 -0.06950207  0.02497269 -0.01006676
 -0.07330746  0.02029538 -0.02800543  0.11196736 -0.12889329 -0.03799032
 -0.32630471  0.07747597 -0.08217941 -0.04682469 -0.01338521 -0.19068882
 -0.296289   -0.00973369 -0.15636924 -0.14971987  0.16040123  0.30773499
  0.06328822  0.27152181  0.16975731  0.16262699 -0.11176432  0.04092942
  0.01781139  0.03982683  0.1038695   0.12186873  0.20437408  0.0865639
 -0.26360312  0.19129878]",2
"[-0.06020989  0.19456239 -0.0729779   0.07350641 -0.16235852 -0.11994616
 -0.14767857  0.06859018  0.07695981 -0.08220885  0.04827254 -0.00723488
  0.20468191  0.02021195 -0.10723262 -0.06964386  0.23772925 -0.01296889
 -0.07890947  0.09633755  0.13071213  0.19230476 -0.04051847 -0.07715429
 -0.41699982  0.02887229 -0.0872463   0.02055219  0.0517388  -0.11995749
 -0.30822623  0.08838783 -0.13991041 -0.06638861  0.10928714  0.20102167
  0.17776503  0.27121828  0.06826427  0.14445225 -0.07247967  0.02646251
 -0.00712522  0.00734845  0.06098744  0.22742647  0.16716907  0.14071579
 -0.17155433  0.15691658]",2
"[ 0.02531001  0.20482083  0.01103441  0.06987822 -0.11849352 -0.0047695
 -0.25536786 -0.09382274  0.16660844 -0.03111821  0.08604159 -0.0899951
  0.16841407  0.00453887 -0.14772107 -0.12017946  0.02312926 -0.08327458
 -0.02926844  0.06907958 -0.04559208  0.13131976 -0.16180966 -0.00560436
 -0.23880972  0.03816358 -0.10461744 -0.04375614  0.04274217 -0.10122864
 -0.31089923  0.05433744 -0.09928539 -0.0502634   0.17907279  0.3491514
  0.12480952  0.25700087  0.1073787   0.18468179 -0.11686527  0.03796719
  0.02861732  0.03481902  0.09884993  0.19384465  0.21598173  0.17909919
 -0.25783164  0.10236627]",1
"[ 0.08402668  0.21703785 -0.11102871  0.09838872  0.05286079 -0.04982056
 -0.21723067  0.01975485  0.02036804 -0.05319314  0.08332633 -0.14745742
  0.21760668  0.08621099 -0.24750848 -0.17694178  0.08088518 -0.11328849
 -0.08383846  0.03822217 -0.06901009  0.09260601 -0.11708971 -0.09316248
 -0.28313209 -0.02885371 -0.0703496  -0.08872393  0.01577479 -0.09616037
 -0.33617702 -0.01194161 -0.16348176 -0.05473399  0.17159353  0.24431286
  0.12467901  0.23390113  0.18405875  0.17946076 -0.0061244   0.04239524
  0.03115656 -0.02783315  0.0027708   0.17432629  0.1262912   0.04427528
 -0.2781921   0.16476957]",2
